LINEID,ROUTEID,DIRECTION,sequence
13,13_28,1,"[6235, 327, 6016, 6017, 7192, 4683, 107, 6125, 7092, 110, 112, 113, 114, 115, 37, 38, 39, 116, 117, 118, 119, 44, 7603, 45, 46, 47, 48, 49, 51, 52, 261, 270]"
13,13_60,1,"[6235, 327, 6016, 6017, 7192, 4683, 107, 6125, 7092, 110, 112, 113, 114, 115, 37, 38, 39, 116, 117, 118, 119, 44, 7603, 45, 46, 47, 48, 49, 51, 52, 261, 270, 335, 4521, 1935, 1937, 1938, 1939, 1940, 1941, 1942, 1943, 1944, 1945, 1946, 1947, 1948, 1949, 1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960, 4379, 1963, 4549, 1964, 4674, 4663, 4664, 2160, 2161, 4665, 4666, 4667, 4668, 4677, 2136, 2137, 7201, 2138, 2139, 2140, 2141, 2142, 2143, 2145, 4670, 2165, 2166, 4545, 4552, 4554, 7229]"
13,13_61,1,"[324, 6235, 327, 6016, 6017, 7192, 4683, 107, 6125, 7092, 110, 112, 113, 114, 115, 37, 38, 39, 116, 117, 118, 119, 44, 7603, 45, 46, 47, 48, 49, 51, 52, 261, 270, 335, 4521, 1935, 1937, 1938, 1939, 1940, 1941, 1942, 1943, 1944, 1945, 1946, 1947, 1948, 1949, 1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960, 4379, 1963, 4549, 1964, 4674, 4663, 4664, 2160, 2161, 4665, 4666, 4667, 4668, 4677, 2136, 2137, 7201, 2138, 2139, 2140, 2141, 2142, 2143, 2145, 4670, 2165, 2166, 4545, 4552, 4554, 7229]"
13,13_62,1,"[6235, 327, 6016, 6017, 7192, 4683, 107, 6125, 7092, 110, 112, 113, 114, 115, 37, 38, 39, 116, 117, 118, 119, 44, 7603, 45, 46, 47, 48, 49, 51, 52, 261, 270, 335, 4521, 1935, 1937, 1938, 1939, 1940, 1941, 1942, 1943, 1944, 1945, 1946, 1947, 1948, 1949, 1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960, 4379, 1963, 4549, 1964, 4674, 4663, 4664, 2160, 2161, 4665, 4666, 4667, 4668, 4677, 2136, 2137, 7201, 2138, 2139, 2140, 2141, 2142, 2143, 2145, 4670, 2165, 2166, 4545, 4552, 4554, 7230]"
13,13_63,1,"[324, 6235, 327, 6016, 6017, 7192, 4683, 107, 6125, 7092, 110, 112, 113, 114, 115, 37, 38, 39, 116, 117, 118, 119, 44, 7603, 45, 46, 47, 48, 49, 51, 52, 261, 270, 335, 4521, 1935, 1937, 1938, 1939, 1940, 1941, 1942, 1943, 1944, 1945, 1946, 1947, 1948, 1949, 1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960, 4379, 1963, 4549, 1964, 4674, 4663, 4664, 2160, 2161, 4665, 4666, 4667, 4668, 4677, 2136, 2137, 7201, 2138, 2139, 2140, 2141, 2142, 2143, 2145, 4670, 2165, 2166, 4545, 4552, 4554, 7230]"
13,13_64,1,"[324, 6235, 327, 6016, 6017, 7192, 4683, 107, 6125, 7092, 110, 112, 113, 114, 115, 37, 38, 39, 116, 117, 118, 119, 44, 7603, 45, 46, 47, 48, 49, 51, 52, 261, 270]"
13,13_65,1,"[6235, 327, 6016, 6017, 7192, 4683, 107, 6125, 7092, 110, 112, 113, 114, 115, 37, 38, 39, 116, 117, 118, 119, 44, 7603, 45, 46, 47, 48, 49, 51, 52, 261, 270, 335, 4521, 1935, 1937, 1938, 1939, 1940, 1941, 1942, 1943, 1944, 1945, 1946, 1947, 1948, 1949, 1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960, 4379, 1963, 4549, 1964, 4674, 4663, 4664, 2160, 2161, 4665, 4666, 4667, 4668, 4677, 2136, 2137, 7201, 2138, 2139, 2140, 2141, 2142, 2143, 2145, 4670, 2165, 2166, 7229]"
13,13_66,1,"[324, 6235, 327, 6016, 6017, 7192, 4683, 107, 6125, 7092, 110, 112, 113, 114, 115, 37, 38, 39, 116, 117, 118, 119, 44, 7603, 45, 46, 47, 48, 49, 51, 52, 261, 270, 335, 4521, 1935, 1937, 1938, 1939, 1940, 1941, 1942, 1943, 1944, 1945, 1946, 1947, 1948, 1949, 1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960, 4379, 1963, 4549, 1964, 4674, 4663, 4664, 2160, 2161, 4665, 4666, 4667, 4668, 4677, 2136, 2137, 7201, 2138, 2139, 2140, 2141, 2142, 2143, 2145, 4670, 2165, 2166, 7229]"
13,13_67,2,"[7229, 4617, 4555, 4576, 3418, 3419, 2374, 2146, 2147, 2148, 2149, 2150, 2151, 2152, 2153, 2154, 6245, 4671, 4672, 3465, 4673, 2172, 2159, 4409, 4550, 4551, 1965, 1966, 1975, 1977, 1978, 1980, 1981, 1982, 4406, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2001, 2002, 1359, 319, 281, 7, 11, 14, 15, 17, 18, 19, 21, 7602, 85, 86, 87, 88, 89, 27, 28, 29, 4680, 90, 91, 92, 93, 94, 102, 6239, 104, 6241, 105, 6253, 7191, 6238, 6182, 322, 323, 6234]"
13,13_68,2,"[7229, 4617, 4555, 4576, 3418, 3419, 2374, 2146, 2147, 2148, 2149, 2150, 2151, 2152, 2153, 2154, 6245, 4671, 4672, 3465, 4673, 2172, 2159, 4409, 4550, 4551, 1965, 1966, 1975, 1977, 1978, 1980, 1981, 1982, 4406, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 2001, 2002, 1359, 319, 281, 7, 11, 14, 15, 17, 18, 19, 21, 7602, 85, 86, 87, 88, 89, 27, 28, 29, 4680, 90, 91, 92, 93, 94, 102, 6239, 104, 6241, 105, 6253, 7191, 6238, 6182, 322, 323, 6234, 332]"
13,13_69,2,"[7230, 4617, 4555, 4576, 3418, 3419, 2374, 2146, 2147, 2148, 2149, 2150, 2151, 2152, 2153, 2154, 6245, 4671, 4672, 3465, 4673, 2172, 2159, 4409, 4550, 4551, 1965, 1966, 1975, 1977, 1978, 1980, 1981, 1982, 4406, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2001, 2002, 1359, 319, 281, 7, 11, 14, 15, 17, 18, 19, 21, 85, 86, 87, 88, 89, 27, 28, 29, 4680, 90, 91, 92, 93, 94, 102, 6239, 104, 6241, 105, 6253, 7191, 6238, 6182, 322, 323, 6234]"
13,13_70,2,"[7230, 4617, 4555, 4576, 3418, 3419, 2374, 2146, 2147, 2148, 2149, 2150, 2151, 2152, 2153, 2154, 6245, 4671, 4672, 3465, 4673, 2172, 2159, 4409, 4550, 4551, 1965, 1966, 1975, 1977, 1978, 1980, 1981, 1982, 4406, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2001, 2002, 1359, 319, 281, 7, 11, 14, 15, 17, 18, 19, 21, 85, 86, 87, 88, 89, 27, 28, 29, 4680, 90, 91, 92, 93, 94, 102, 6239, 104, 6241, 105, 6253, 7191, 6238, 6182, 322, 323, 6234, 332]"
13,13_71,2,"[7229, 4617, 4555, 4576, 3418, 3419, 2374, 2146, 2147, 2148, 2149, 2150, 2151, 2152, 2153, 2154, 6245, 4671, 4672, 3465, 4673, 2172, 2159, 4409, 4550, 4551, 1965, 1966, 1975, 1977, 1978, 1980, 1981, 1982, 4406, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2001, 2002, 1359, 319, 281]"
