LINEID,ROUTEID,DIRECTION,sequence
27B,27B_23,1,"[300, 7490, 497, 515, 516, 4384, 519, 521, 522, 7659, 523, 669, 670, 671, 672, 4382, 1196, 1197, 1198, 1222, 1223, 1224, 1225, 1226, 1227, 1228, 1244, 254, 1246, 1229, 1231, 1232, 1233, 1234, 7358, 5174, 6078, 7112, 972, 1625, 1626, 1627, 1628, 1629, 6234, 332]"
27B,27B_25,1,"[300, 7490, 497, 515, 516, 4384, 519, 521, 522, 7659, 523, 669, 670, 671, 672, 4382, 1196, 1197, 1198, 1222, 1223, 1224, 1225, 1226, 1227, 1228, 1244, 254, 1246, 1229, 1231, 1232, 1233, 1234, 7358, 5174, 6078, 7112, 972]"
27B,27B_26,1,"[300, 7490, 497, 515, 516, 4384, 519, 521, 522, 7659, 523, 669, 670, 671, 672, 4382, 1196, 1197, 1198, 1222, 1223, 1224, 1225, 1226, 1227, 1228, 1244, 254, 1246, 1229, 1231, 1232, 1233]"
27B,27B_27,1,"[300, 7490, 497, 515, 516, 4384, 519, 521, 522, 7659, 523, 669, 670, 671, 672, 4382, 1196, 1197, 1198, 1222, 1223, 1224, 1225, 1226, 1227, 1253, 969, 1176, 1177, 1178, 1179, 7112, 972]"
27B,27B_34,2,"[324, 7479, 7484, 7485, 7486, 7487, 1634, 1635, 1636, 1637, 1638, 992, 7044, 993, 5060, 5061, 1231, 1232, 1233, 1234, 7358, 1235, 1251, 253, 5033, 7130, 1237, 1238, 1239, 247, 1240, 1241, 1242, 1277, 1219, 1220, 1221, 664, 665, 666, 667, 668, 614, 615, 616, 617, 618, 619, 675, 4415, 303, 303]"
27B,27B_35,2,"[324, 7479, 7484, 7485, 7486, 7487, 1634, 1635, 1636, 1637, 1638, 992, 7044, 993, 5060, 5061, 1231, 1232, 1233, 1234, 7358, 1235, 1251, 7130, 1237, 1238, 1239, 247, 1240, 1241, 1242, 1277, 1219, 1220, 1221, 664, 665, 666, 667, 668, 614, 615, 616, 617, 618, 619, 675, 4415, 303, 303]"
27B,27B_36,2,"[7044, 993, 5060, 5061, 1231, 1232, 1233, 1234, 7358, 1235, 1251, 253, 5033, 7130, 1237, 1238, 1239, 247, 1240, 1241, 1242, 1277, 1219, 1220, 1221, 664, 665, 666, 667, 668, 614, 615, 616, 617, 618, 619, 675, 303, 4415, 303]"
27B,27B_37,2,"[1233, 1234, 7358, 1231, 1235, 1251, 253, 5033, 7130, 1237, 1238, 1239, 247, 1240, 1241, 1242, 1277, 1219, 1220, 1221, 664, 665, 666, 667, 668, 614, 615, 616, 617, 618, 619, 675, 303, 4415, 303]"
27B,27B_38,2,"[1176, 1177, 1178, 1179, 1238, 1239, 247, 1240, 1241, 1242, 1277, 1219, 1220, 1221, 664, 665, 666, 667, 668, 614, 615, 616, 617, 618, 619, 675, 303, 4415, 303]"
27B,27B_39,2,"[1233, 1234, 7358, 1235, 1251, 7130, 1237, 1238, 1239, 247, 1240, 1241, 1242, 1277, 1219, 1220, 1221, 664, 665, 666, 667, 668, 614, 615, 616, 617, 618, 619, 675, 303, 4415, 303]"
27B,27B_40,1,"[300, 7490, 497, 515, 516, 4384, 519, 521, 522, 7659, 523, 669, 670, 671, 672, 4382, 1196, 1197, 1198, 1222, 1223, 1224, 1225, 1226, 1227, 1228, 1244, 1246, 1229, 1231, 1232, 1233, 1234, 7358, 5174, 6078, 7112, 972, 1625, 1626, 1627, 1628, 1629, 6234, 332]"
