LINEID,ROUTEID,DIRECTION,sequence
46A,46A_62,2,"[2060, 2061, 2062, 2063, 2064, 2065, 4727, 4728, 461, 2068, 2069, 2070, 2084, 768, 769, 770, 771, 772, 773, 774, 775, 776, 777, 906, 907, 908, 909, 786, 792, 320, 7491, 278, 2]"
46A,46A_63,2,"[2064, 2065, 4727, 4728, 461, 2068, 2069, 2070, 2084, 768, 769, 770, 771, 772, 773, 774, 775, 776, 777, 906, 907, 908, 909, 786, 792, 401, 320, 7491, 278, 2, 192, 795, 796, 797, 798, 799, 800, 801, 802, 803, 804, 805, 7513, 806, 807, 807, 807]"
46A,46A_64,2,"[2060, 2061, 2062, 2063, 2064, 2065, 4727, 4728, 461, 2068, 2069, 2070, 2084, 768, 769, 770, 771, 772, 773, 774, 775, 776, 777, 906, 907, 908, 909, 786, 792, 401, 320, 7491, 278, 2, 4962]"
46A,46A_65,2,"[7491, 278, 2, 192, 795, 796, 797, 798, 799, 800, 801, 802, 803, 804, 7513, 807, 7688, 7689, 807]"
46A,46A_66,2,"[2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 4568, 4569, 7658, 4570, 2056, 2057, 2058, 2059, 2060, 2061, 2062, 2063, 2064, 2065, 4727, 4728, 461, 2068, 2069, 2070, 2084, 768, 769, 770, 771, 772, 773, 774, 775, 776, 777, 906, 907, 908, 909, 786, 792, 320]"
46A,46A_67,2,"[2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 4568, 4569, 7658, 4570, 2056, 2057, 2058, 2059, 2060, 2061, 2062, 2063, 2064, 2065, 4727, 4728, 461, 2068, 2069, 2070, 2084, 768, 769, 770, 771, 772, 773, 774, 775, 776, 777, 906, 907, 908, 909, 786, 792, 401, 320, 7491, 278, 2, 192, 795, 796, 797, 798, 799, 800, 801, 802, 803, 804, 805, 7513, 806, 807, 7688, 807, 7689, 807]"
46A,46A_68,1,"[264, 6059, 334, 406, 747, 842, 845, 846, 847, 848, 2795, 756, 757, 758, 759, 760, 761, 762, 763, 2007, 2008, 2009, 2010, 435, 7353, 4571, 2013, 2014, 4636, 2016, 2015, 2017, 2018, 2019, 2020, 2021, 2022, 4565, 4566, 4567, 2031, 2032, 2033, 2034, 2035, 2036, 2039]"
46A,46A_69,1,"[807, 808, 809, 810, 811, 812, 813, 814, 81, 817, 818, 819, 264, 6059, 334, 406, 747, 842, 845, 846, 847, 848, 2795, 756, 757, 758, 759, 760, 761, 762, 763, 767]"
46A,46A_70,1,"[334, 406, 747, 842, 845, 846, 847, 848, 2795, 756, 757, 758, 759, 760, 761, 762, 763, 2007, 2008, 2009, 2010, 435, 7353, 4571, 2013, 2014, 4636, 2016, 2015, 2017, 2018, 2019, 2020, 2021, 2022, 4565, 4566, 4567, 2031, 2032, 2033, 2034, 2035, 2036, 2039]"
46A,46A_71,1,"[760, 761, 762, 763, 2007, 2008, 2009, 2010, 435, 7353, 4571, 2013, 2014, 4636, 2016, 2015, 2017, 2018, 2019, 2020, 2021, 2022, 4565, 4566, 4567, 2031, 2032, 2033, 2034, 2035, 2036, 2039]"
46A,46A_72,1,"[4962, 264, 6059, 334, 406, 747, 842, 845, 846, 847, 848, 2795, 756, 757, 758, 759, 760, 761, 762, 763, 2007, 2008, 2009, 2010, 435, 7353, 4571, 2013, 2014, 4636, 2016, 2015, 2017, 2018, 2019, 2020, 2021, 2022, 4565, 4566, 4567, 2031, 2032, 2033, 2034, 2035, 2036, 2039]"
46A,46A_73,1,"[807, 808, 809, 810, 811, 812, 813, 814, 81, 817, 818, 819, 264, 6059, 334]"
46A,46A_74,1,"[807, 808, 809, 810, 811, 812, 813, 814, 81, 817, 818, 819, 264, 6059, 334, 406, 747, 842, 845, 846, 847, 848, 2795, 756, 757, 758, 759, 760, 761, 762, 763, 2007, 2008, 2009, 2010, 435, 7353, 4571, 2013, 2014, 4636, 2016, 2015, 2017, 2018, 2019, 2020, 2021, 2022, 4565, 4566, 4567, 2031, 2032, 2033, 2034, 2035, 2036, 2039]"
46A,46A_77,2,"[2060, 2061, 2062, 2063, 2064, 2065, 4727, 4728, 461, 2068, 2069, 2070, 2084, 768, 769, 770, 771, 772, 773, 774, 775, 776, 777, 906, 907, 908, 909, 786, 792, 320, 7491, 278, 2, 192, 795, 796, 797, 798, 799, 800, 801, 802, 803, 804, 805, 7513, 806, 807, 807, 807]"
