LINEID,ROUTEID,DIRECTION,sequence
67X,67X_38,1,"[4952, 768, 769, 770, 771, 772, 773, 774, 775, 776, 777, 779, 780, 781, 782, 783, 784, 785, 786, 791, 7576, 4529, 7585, 7587, 345, 318, 312, 1444, 1445, 1447, 2637, 2721, 7012, 2201, 4401, 2213, 2214, 2215, 7184, 7050, 7185, 7186, 7187, 3947, 3892, 3893, 3895, 3896, 3897, 3898, 3899, 3900, 3901, 3902, 3904, 3905, 7085, 7086, 7087, 7088, 7089, 7091, 3910, 3911, 3912, 3913, 3914, 3925, 3008, 6089]"
67X,67X_39,1,"[4952, 768, 769, 770, 771, 772, 773, 774, 775, 776, 777, 779, 780, 781, 782, 783, 784, 785, 786, 791, 7576, 7585, 7587, 345, 318, 312, 1444, 1445, 1447, 2637, 2721, 7012, 2201, 4401, 2213, 2214, 2215, 7184, 7050, 7185, 7186, 7187, 3947, 3892, 3893, 3895, 3896, 3897, 3898, 3899, 3900, 3901, 3902, 3904, 3905, 3906, 3907, 3909, 5118, 3910, 3911, 3912, 3913, 3914, 3925, 3008, 6089]"
67X,67X_40,1,"[318, 312, 1444, 1445, 1447, 2637, 2721, 7012, 2201, 4401, 2213, 2214, 2215, 7184, 7050, 7185, 7186, 7187, 3947, 3892, 3893, 3895, 3896, 3897, 3898, 3899, 3900, 3901, 3902, 3904, 3905, 3906, 3907, 3909, 5118, 3910, 3911, 3912, 3913, 3914, 3925, 3008, 6089]"
67X,67X_41,2,"[3921, 3922, 3923, 7079, 7080, 7081, 7565, 7082, 7083, 7084, 7108, 3935, 3936, 3938, 3939, 3940, 3941, 3943, 3944, 3945, 3946, 4001, 7193, 7049, 2236, 2239, 2241, 2242, 7435, 2722, 4413, 1476, 7453, 1478, 1479, 315, 336, 406, 747, 748, 749, 750, 751, 752, 753, 754, 755, 756, 757, 758, 759, 760, 761, 762, 763, 4952]"
67X,67X_42,2,"[3921, 3922, 3923, 3112, 3924, 3927, 3928, 3929, 7108, 3935, 3936, 7110, 3938, 3939, 3940, 3941, 3943, 3944, 3945, 3946, 4001, 7193, 7049, 2236, 2239, 2241, 2242, 7435, 2722, 4413, 1476, 7453, 1478, 1479, 315, 336, 406, 747, 748, 749, 750, 751, 752, 753, 754, 755, 756, 757, 758, 759, 760, 761, 762, 763, 4952]"
67X,67X_43,1,"[4952, 768, 769, 770, 771, 772, 773, 774, 775, 776, 777, 779, 780, 781, 782, 783, 784, 785, 786, 6058, 791, 7576, 4529, 7585, 7587, 345, 318, 312, 1444, 1445, 1447, 2637, 2721, 7012, 2201, 4401, 2213, 2214, 2215, 7184, 7050, 7185, 7186, 7187, 3947, 3892, 3893, 3895, 3896, 3897, 3898, 3899, 3900, 3901, 3902, 3904, 3905, 7085, 7086, 7087, 7088, 7089, 7091, 3910, 3911, 3912, 3913, 3914, 3925, 3008, 6089]"
67X,67X_44,1,"[4952, 768, 769, 770, 771, 772, 773, 774, 775, 776, 777, 779, 780, 781, 782, 783, 784, 785, 786, 6058, 791, 7576, 4529, 7585, 7587, 345, 318, 312, 1444, 1445, 1447, 2637, 2721, 7012, 2201, 4401, 2213, 2214, 2215, 7184, 7050, 7185, 7186, 7187, 3947, 3892, 3893, 3895, 3896, 3897, 3898, 3899, 3900, 3901, 3902, 3904, 3905, 3906, 3907, 3909, 5118, 3910, 3911, 3912, 3913, 3914, 3925, 3008, 6089]"
67X,67X_45,1,"[318, 312, 1444, 1445, 1447, 2637, 2721, 7012, 2201, 4401, 2213, 2214, 2215, 7184, 7050, 7185, 7186, 7187, 3947, 3892, 3893, 3895, 3896, 3897, 3898, 3899, 3900, 3901, 3902, 3904, 3905, 3906, 3907, 3909, 5118, 3910, 3911, 3912, 3913, 3914, 3925, 3008, 6089]"
67X,67X_46,2,"[3921, 3922, 3923, 7079, 7080, 7081, 7565, 7082, 7083, 7084, 7108, 3935, 3936, 3938, 3939, 3940, 3941, 3943, 3944, 3945, 3946, 4001, 7193, 7049, 2236, 2239, 2241, 2242, 7435, 2722, 4413, 1476, 7453, 1478, 1479, 315, 4495, 2809, 2810, 749, 750, 751, 752, 753, 754, 755, 756, 757, 758, 759, 760, 761, 762, 763, 4952]"
67X,67X_47,2,"[3921, 3922, 3923, 3112, 3924, 3927, 3928, 3929, 7108, 3935, 3936, 7110, 3938, 3939, 3940, 3941, 3943, 3944, 3945, 3946, 4001, 7193, 7049, 2236, 2239, 2241, 2242, 7435, 2722, 4413, 1476, 7453, 1478, 1479, 315, 4495, 2809, 2810, 749, 750, 751, 752, 753, 754, 755, 756, 757, 758, 759, 760, 761, 762, 763, 4952]"
