LINEID,ROUTEID,STOPPOINTID,DIRECTION,TRIPS_PLANNEDTIME_DEP,DAYOFWEEK
16C,16C_28,1326,2,84600,0
16C,16C_28,1325,2,84600,0
16C,16C_28,1327,2,84600,0
16C,16C_28,1328,2,84600,0
16C,16C_28,1329,2,84600,0
16C,16C_28,1330,2,84600,0
16C,16C_28,1331,2,84600,0
16C,16C_28,1332,2,84600,0
16C,16C_28,1333,2,84600,0
16C,16C_28,1334,2,84600,0
16C,16C_28,1335,2,84600,0
16C,16C_28,1336,2,84600,0
16C,16C_28,1338,2,84600,0
16C,16C_28,1339,2,84600,0
16C,16C_28,1340,2,84600,0
16C,16C_28,1341,2,84600,0
16C,16C_28,1342,2,84600,0
16C,16C_28,1344,2,84600,0
16C,16C_28,1345,2,84600,0
16C,16C_28,1347,2,84600,0
16C,16C_28,1348,2,84600,0
16C,16C_28,1349,2,84600,0
16C,16C_28,1350,2,84600,0
16C,16C_28,1352,2,84600,0
16C,16C_28,1353,2,84600,0
16C,16C_28,7589,2,84600,0
16C,16C_28,1355,2,84600,0
16C,16C_28,1359,2,84600,0
16C,16C_28,320,2,84600,0
16C,16C_28,278,2,84600,0
16C,16C_28,7615,2,84600,0
16C,16C_28,5171,2,84600,0
16C,16C_28,2976,2,84600,0
16C,16C_28,2977,2,84600,0
16C,16C_28,2978,2,84600,0
16C,16C_28,2979,2,84600,0
16C,16C_28,2980,2,84600,0
16C,16C_28,2981,2,84600,0
16C,16C_28,2991,2,84600,0
16C,16C_28,1337,2,84600,0
16C,16C_28,1343,2,84600,0
16C,16C_28,1357,2,84600,0
16C,16C_28,2992,2,84600,0
16C,16C_28,1325,2,82800,0
16C,16C_28,1326,2,82800,0
16C,16C_28,1329,2,82800,0
16C,16C_28,1330,2,82800,0
16C,16C_28,1331,2,82800,0
16C,16C_28,1334,2,82800,0
16C,16C_28,1335,2,82800,0
16C,16C_28,1336,2,82800,0
16C,16C_28,1337,2,82800,0
16C,16C_28,1339,2,82800,0
16C,16C_28,1340,2,82800,0
16C,16C_28,1341,2,82800,0
16C,16C_28,1342,2,82800,0
16C,16C_28,1344,2,82800,0
16C,16C_28,1345,2,82800,0
16C,16C_28,1347,2,82800,0
16C,16C_28,1348,2,82800,0
