LINEID,ROUTEID,STOPPOINTID,DIRECTION,TRIPS_PLANNEDTIME_DEP,DAYOFWEEK
25B,25B_274,2637,1,76620,0
25B,25B_274,2721,1,76620,0
25B,25B_274,7012,1,76620,0
25B,25B_274,2201,1,76620,0
25B,25B_274,4401,1,76620,0
25B,25B_274,2213,1,76620,0
25B,25B_274,2214,1,76620,0
25B,25B_274,2215,1,76620,0
25B,25B_274,2216,1,76620,0
25B,25B_274,4599,1,76620,0
25B,25B_274,4602,1,76620,0
25B,25B_274,4603,1,76620,0
25B,25B_274,4604,1,76620,0
25B,25B_274,4605,1,76620,0
25B,25B_274,4562,1,76620,0
25B,25B_274,4607,1,76620,0
25B,25B_274,7140,1,76620,0
25B,25B_274,7138,1,76620,0
25B,25B_274,3370,1,76620,0
25B,25B_274,7231,1,76620,0
25B,25B_274,7118,1,76620,0
25B,25B_274,7391,1,76620,0
25B,25B_274,494,1,76620,0
25B,25B_274,495,1,76620,0
25B,25B_274,400,1,76620,0
25B,25B_274,7588,1,76620,0
25B,25B_274,312,1,76620,0
25B,25B_274,1444,1,76620,0
25B,25B_274,4407,1,76620,0
25B,25B_274,493,1,76620,0
25B,25B_274,7392,1,76620,0
25B,25B_274,1445,1,76620,0
25B,25B_274,7239,1,76620,0
25B,25B_274,5058,1,76620,0
25B,25B_274,7386,1,76620,0
25B,25B_274,7141,1,76620,0
25B,25B_274,7117,1,76620,0
25B,25B_274,6289,1,76620,0
25B,25B_274,4601,1,76620,0
25B,25B_274,7128,1,76620,0
25B,25B_274,2637,1,78420,0
25B,25B_274,2721,1,78420,0
25B,25B_274,7012,1,78420,0
25B,25B_274,2201,1,78420,0
25B,25B_274,7239,1,78420,0
25B,25B_274,4401,1,78420,0
25B,25B_274,2214,1,78420,0
25B,25B_274,2216,1,78420,0
25B,25B_274,4599,1,78420,0
25B,25B_274,4601,1,78420,0
25B,25B_274,5058,1,78420,0
25B,25B_274,4603,1,78420,0
25B,25B_274,4604,1,78420,0
25B,25B_274,4605,1,78420,0
25B,25B_274,4562,1,78420,0
25B,25B_274,7386,1,78420,0
25B,25B_274,4607,1,78420,0
25B,25B_274,7140,1,78420,0
25B,25B_274,7141,1,78420,0
25B,25B_274,7138,1,78420,0
25B,25B_274,3370,1,78420,0
25B,25B_274,7231,1,78420,0
25B,25B_274,7128,1,78420,0
25B,25B_274,7117,1,78420,0
25B,25B_274,7118,1,78420,0
25B,25B_274,6289,1,78420,0
25B,25B_274,7391,1,78420,0
25B,25B_274,493,1,78420,0
25B,25B_274,494,1,78420,0
25B,25B_274,7588,1,78420,0
25B,25B_274,7392,1,78420,0
25B,25B_274,312,1,78420,0
25B,25B_274,1444,1,78420,0
25B,25B_274,1445,1,78420,0
25B,25B_274,4407,1,78420,0
25B,25B_274,2213,1,78420,0
25B,25B_274,2215,1,78420,0
25B,25B_274,4602,1,78420,0
25B,25B_274,495,1,78420,0
25B,25B_274,400,1,78420,0
25B,25B_274,2637,1,82020,0
25B,25B_274,2721,1,82020,0
25B,25B_274,2201,1,82020,0
25B,25B_274,4401,1,82020,0
25B,25B_274,2213,1,82020,0
25B,25B_274,2214,1,82020,0
25B,25B_274,2215,1,82020,0
25B,25B_274,2216,1,82020,0
25B,25B_274,4599,1,82020,0
25B,25B_274,4601,1,82020,0
25B,25B_274,5058,1,82020,0
25B,25B_274,4602,1,82020,0
25B,25B_274,4603,1,82020,0
25B,25B_274,4604,1,82020,0
25B,25B_274,4605,1,82020,0
25B,25B_274,4562,1,82020,0
25B,25B_274,4607,1,82020,0
25B,25B_274,7140,1,82020,0
25B,25B_274,7141,1,82020,0
25B,25B_274,3370,1,82020,0
25B,25B_274,7231,1,82020,0
25B,25B_274,7128,1,82020,0
25B,25B_274,7117,1,82020,0
25B,25B_274,7118,1,82020,0
25B,25B_274,7391,1,82020,0
25B,25B_274,493,1,82020,0
25B,25B_274,494,1,82020,0
25B,25B_274,495,1,82020,0
25B,25B_274,400,1,82020,0
25B,25B_274,7588,1,82020,0
25B,25B_274,7392,1,82020,0
25B,25B_274,312,1,82020,0
25B,25B_274,1444,1,82020,0
25B,25B_274,1445,1,82020,0
25B,25B_274,4407,1,82020,0
25B,25B_274,7012,1,82020,0
25B,25B_274,7239,1,82020,0
25B,25B_274,7386,1,82020,0
25B,25B_274,7138,1,82020,0
25B,25B_274,6289,1,82020,0
25B,25B_274,2637,1,80220,0
25B,25B_274,2721,1,80220,0
25B,25B_274,7012,1,80220,0
25B,25B_274,7239,1,80220,0
25B,25B_274,2213,1,80220,0
25B,25B_274,2214,1,80220,0
25B,25B_274,2215,1,80220,0
25B,25B_274,4599,1,80220,0
25B,25B_274,4601,1,80220,0
25B,25B_274,5058,1,80220,0
25B,25B_274,4603,1,80220,0
25B,25B_274,4604,1,80220,0
25B,25B_274,4562,1,80220,0
25B,25B_274,7386,1,80220,0
25B,25B_274,7140,1,80220,0
25B,25B_274,7141,1,80220,0
25B,25B_274,7138,1,80220,0
25B,25B_274,7231,1,80220,0
25B,25B_274,7128,1,80220,0
25B,25B_274,7117,1,80220,0
25B,25B_274,6289,1,80220,0
25B,25B_274,7391,1,80220,0
25B,25B_274,493,1,80220,0
25B,25B_274,495,1,80220,0
25B,25B_274,400,1,80220,0
25B,25B_274,7392,1,80220,0
25B,25B_274,312,1,80220,0
25B,25B_274,1444,1,80220,0
25B,25B_274,4407,1,80220,0
25B,25B_274,494,1,80220,0
25B,25B_274,7588,1,80220,0
25B,25B_274,2201,1,80220,0
25B,25B_274,4401,1,80220,0
25B,25B_274,4602,1,80220,0
25B,25B_274,4607,1,80220,0
25B,25B_274,7118,1,80220,0
25B,25B_274,2216,1,80220,0
