LINEID,ROUTEID,STOPPOINTID,DIRECTION,TRIPS_PLANNEDTIME_DEP,DAYOFWEEK
27A,27A_5,645,2,60300,0
27A,27A_5,1796,2,60300,0
27A,27A_5,1798,2,60300,0
27A,27A_5,1800,2,60300,0
27A,27A_5,1801,2,60300,0
27A,27A_5,1219,2,60300,0
27A,27A_5,1220,2,60300,0
27A,27A_5,1221,2,60300,0
27A,27A_5,664,2,60300,0
27A,27A_5,665,2,60300,0
27A,27A_5,666,2,60300,0
27A,27A_5,668,2,60300,0
27A,27A_5,615,2,60300,0
27A,27A_5,617,2,60300,0
27A,27A_5,619,2,60300,0
27A,27A_5,675,2,60300,0
27A,27A_5,620,2,60300,0
27A,27A_5,1791,2,60300,0
27A,27A_5,1792,2,60300,0
27A,27A_5,1793,2,60300,0
27A,27A_5,962,2,60300,0
27A,27A_5,635,2,60300,0
27A,27A_5,637,2,60300,0
27A,27A_5,639,2,60300,0
27A,27A_5,640,2,60300,0
27A,27A_5,641,2,60300,0
27A,27A_5,642,2,60300,0
27A,27A_5,644,2,60300,0
27A,27A_5,636,2,60300,0
27A,27A_5,638,2,60300,0
27A,27A_5,643,2,60300,0
27A,27A_5,1799,2,60300,0
27A,27A_5,1277,2,60300,0
27A,27A_5,614,2,60300,0
27A,27A_5,616,2,60300,0
27A,27A_5,667,2,60300,0
27A,27A_5,618,2,60300,0
27A,27A_5,7568,2,60300,0
27A,27A_5,1797,2,60300,0
27A,27A_5,645,2,52200,0
27A,27A_5,1796,2,52200,0
27A,27A_5,1797,2,52200,0
27A,27A_5,1798,2,52200,0
27A,27A_5,1799,2,52200,0
27A,27A_5,1800,2,52200,0
27A,27A_5,1801,2,52200,0
27A,27A_5,1277,2,52200,0
27A,27A_5,1219,2,52200,0
27A,27A_5,664,2,52200,0
27A,27A_5,665,2,52200,0
27A,27A_5,666,2,52200,0
27A,27A_5,667,2,52200,0
27A,27A_5,668,2,52200,0
27A,27A_5,615,2,52200,0
27A,27A_5,616,2,52200,0
27A,27A_5,617,2,52200,0
27A,27A_5,618,2,52200,0
27A,27A_5,619,2,52200,0
27A,27A_5,675,2,52200,0
27A,27A_5,7568,2,52200,0
27A,27A_5,1791,2,52200,0
27A,27A_5,1792,2,52200,0
27A,27A_5,1793,2,52200,0
27A,27A_5,962,2,52200,0
27A,27A_5,635,2,52200,0
27A,27A_5,637,2,52200,0
27A,27A_5,638,2,52200,0
27A,27A_5,640,2,52200,0
27A,27A_5,641,2,52200,0
27A,27A_5,642,2,52200,0
27A,27A_5,643,2,52200,0
27A,27A_5,644,2,52200,0
27A,27A_5,620,2,52200,0
27A,27A_5,1220,2,52200,0
27A,27A_5,1221,2,52200,0
27A,27A_5,614,2,52200,0
27A,27A_5,636,2,52200,0
27A,27A_5,639,2,52200,0
27A,27A_5,645,2,54900,0
27A,27A_5,1796,2,54900,0
27A,27A_5,1797,2,54900,0
27A,27A_5,1798,2,54900,0
27A,27A_5,1800,2,54900,0
27A,27A_5,1801,2,54900,0
27A,27A_5,1219,2,54900,0
27A,27A_5,1220,2,54900,0
27A,27A_5,1221,2,54900,0
27A,27A_5,664,2,54900,0
27A,27A_5,665,2,54900,0
27A,27A_5,666,2,54900,0
27A,27A_5,667,2,54900,0
27A,27A_5,668,2,54900,0
27A,27A_5,615,2,54900,0
27A,27A_5,617,2,54900,0
27A,27A_5,618,2,54900,0
27A,27A_5,619,2,54900,0
27A,27A_5,675,2,54900,0
27A,27A_5,620,2,54900,0
27A,27A_5,1791,2,54900,0
27A,27A_5,1792,2,54900,0
27A,27A_5,962,2,54900,0
27A,27A_5,635,2,54900,0
27A,27A_5,636,2,54900,0
27A,27A_5,638,2,54900,0
27A,27A_5,639,2,54900,0
27A,27A_5,640,2,54900,0
27A,27A_5,641,2,54900,0
27A,27A_5,642,2,54900,0
27A,27A_5,644,2,54900,0
27A,27A_5,637,2,54900,0
27A,27A_5,643,2,54900,0
27A,27A_5,1799,2,54900,0
27A,27A_5,1277,2,54900,0
27A,27A_5,614,2,54900,0
27A,27A_5,616,2,54900,0
27A,27A_5,7568,2,54900,0
27A,27A_5,1793,2,54900,0
27A,27A_5,645,2,68400,0
27A,27A_5,1797,2,68400,0
27A,27A_5,1798,2,68400,0
27A,27A_5,1800,2,68400,0
27A,27A_5,1801,2,68400,0
27A,27A_5,1277,2,68400,0
27A,27A_5,1219,2,68400,0
27A,27A_5,1220,2,68400,0
27A,27A_5,1221,2,68400,0
27A,27A_5,665,2,68400,0
27A,27A_5,666,2,68400,0
27A,27A_5,667,2,68400,0
27A,27A_5,668,2,68400,0
27A,27A_5,614,2,68400,0
27A,27A_5,615,2,68400,0
27A,27A_5,616,2,68400,0
27A,27A_5,617,2,68400,0
27A,27A_5,618,2,68400,0
27A,27A_5,619,2,68400,0
27A,27A_5,675,2,68400,0
27A,27A_5,620,2,68400,0
27A,27A_5,7568,2,68400,0
27A,27A_5,1791,2,68400,0
27A,27A_5,1792,2,68400,0
27A,27A_5,1793,2,68400,0
27A,27A_5,962,2,68400,0
27A,27A_5,635,2,68400,0
27A,27A_5,636,2,68400,0
27A,27A_5,637,2,68400,0
27A,27A_5,638,2,68400,0
27A,27A_5,639,2,68400,0
27A,27A_5,640,2,68400,0
27A,27A_5,642,2,68400,0
27A,27A_5,643,2,68400,0
27A,27A_5,644,2,68400,0
27A,27A_5,1799,2,68400,0
27A,27A_5,664,2,68400,0
27A,27A_5,641,2,68400,0
27A,27A_5,1796,2,68400,0
27A,27A_5,645,2,71100,0
27A,27A_5,1796,2,71100,0
27A,27A_5,1797,2,71100,0
27A,27A_5,1799,2,71100,0
27A,27A_5,1800,2,71100,0
27A,27A_5,1801,2,71100,0
27A,27A_5,1219,2,71100,0
27A,27A_5,1220,2,71100,0
27A,27A_5,1221,2,71100,0
27A,27A_5,664,2,71100,0
27A,27A_5,666,2,71100,0
27A,27A_5,667,2,71100,0
27A,27A_5,614,2,71100,0
27A,27A_5,615,2,71100,0
27A,27A_5,616,2,71100,0
27A,27A_5,617,2,71100,0
27A,27A_5,675,2,71100,0
27A,27A_5,7568,2,71100,0
27A,27A_5,1791,2,71100,0
27A,27A_5,1793,2,71100,0
27A,27A_5,962,2,71100,0
27A,27A_5,635,2,71100,0
27A,27A_5,637,2,71100,0
27A,27A_5,638,2,71100,0
27A,27A_5,641,2,71100,0
27A,27A_5,642,2,71100,0
27A,27A_5,643,2,71100,0
27A,27A_5,644,2,71100,0
27A,27A_5,636,2,71100,0
27A,27A_5,639,2,71100,0
27A,27A_5,640,2,71100,0
27A,27A_5,1798,2,71100,0
27A,27A_5,1277,2,71100,0
27A,27A_5,668,2,71100,0
27A,27A_5,618,2,71100,0
27A,27A_5,620,2,71100,0
27A,27A_5,665,2,71100,0
27A,27A_5,619,2,71100,0
27A,27A_5,1792,2,71100,0
27A,27A_5,645,2,63000,0
27A,27A_5,1796,2,63000,0
27A,27A_5,1797,2,63000,0
27A,27A_5,1798,2,63000,0
27A,27A_5,1799,2,63000,0
27A,27A_5,1800,2,63000,0
27A,27A_5,1801,2,63000,0
27A,27A_5,1277,2,63000,0
27A,27A_5,1219,2,63000,0
27A,27A_5,1220,2,63000,0
27A,27A_5,1221,2,63000,0
27A,27A_5,664,2,63000,0
27A,27A_5,665,2,63000,0
27A,27A_5,666,2,63000,0
27A,27A_5,667,2,63000,0
27A,27A_5,668,2,63000,0
27A,27A_5,614,2,63000,0
27A,27A_5,615,2,63000,0
27A,27A_5,616,2,63000,0
27A,27A_5,617,2,63000,0
27A,27A_5,618,2,63000,0
27A,27A_5,619,2,63000,0
27A,27A_5,620,2,63000,0
27A,27A_5,7568,2,63000,0
27A,27A_5,1791,2,63000,0
27A,27A_5,1792,2,63000,0
27A,27A_5,1793,2,63000,0
27A,27A_5,962,2,63000,0
27A,27A_5,635,2,63000,0
27A,27A_5,636,2,63000,0
27A,27A_5,637,2,63000,0
27A,27A_5,638,2,63000,0
27A,27A_5,639,2,63000,0
27A,27A_5,640,2,63000,0
27A,27A_5,641,2,63000,0
27A,27A_5,643,2,63000,0
27A,27A_5,644,2,63000,0
27A,27A_5,675,2,63000,0
27A,27A_5,642,2,63000,0
27A,27A_5,645,2,41400,0
27A,27A_5,1796,2,41400,0
27A,27A_5,1798,2,41400,0
27A,27A_5,1799,2,41400,0
27A,27A_5,1800,2,41400,0
27A,27A_5,1801,2,41400,0
27A,27A_5,1277,2,41400,0
27A,27A_5,1219,2,41400,0
27A,27A_5,1220,2,41400,0
27A,27A_5,1221,2,41400,0
27A,27A_5,664,2,41400,0
27A,27A_5,665,2,41400,0
27A,27A_5,666,2,41400,0
27A,27A_5,667,2,41400,0
27A,27A_5,668,2,41400,0
27A,27A_5,614,2,41400,0
27A,27A_5,615,2,41400,0
27A,27A_5,616,2,41400,0
27A,27A_5,617,2,41400,0
27A,27A_5,618,2,41400,0
27A,27A_5,619,2,41400,0
27A,27A_5,675,2,41400,0
27A,27A_5,620,2,41400,0
27A,27A_5,7568,2,41400,0
27A,27A_5,1791,2,41400,0
27A,27A_5,1792,2,41400,0
27A,27A_5,1793,2,41400,0
27A,27A_5,962,2,41400,0
27A,27A_5,635,2,41400,0
27A,27A_5,636,2,41400,0
27A,27A_5,637,2,41400,0
27A,27A_5,638,2,41400,0
27A,27A_5,639,2,41400,0
27A,27A_5,640,2,41400,0
27A,27A_5,641,2,41400,0
27A,27A_5,642,2,41400,0
27A,27A_5,643,2,41400,0
27A,27A_5,644,2,41400,0
27A,27A_5,1797,2,41400,0
27A,27A_5,645,2,36000,0
27A,27A_5,1796,2,36000,0
27A,27A_5,1797,2,36000,0
27A,27A_5,1798,2,36000,0
27A,27A_5,1799,2,36000,0
27A,27A_5,1801,2,36000,0
27A,27A_5,1277,2,36000,0
27A,27A_5,1219,2,36000,0
27A,27A_5,1220,2,36000,0
27A,27A_5,1221,2,36000,0
27A,27A_5,664,2,36000,0
27A,27A_5,665,2,36000,0
27A,27A_5,667,2,36000,0
27A,27A_5,614,2,36000,0
27A,27A_5,615,2,36000,0
27A,27A_5,616,2,36000,0
27A,27A_5,617,2,36000,0
27A,27A_5,618,2,36000,0
27A,27A_5,619,2,36000,0
27A,27A_5,675,2,36000,0
27A,27A_5,7568,2,36000,0
27A,27A_5,636,2,36000,0
27A,27A_5,638,2,36000,0
27A,27A_5,639,2,36000,0
27A,27A_5,640,2,36000,0
27A,27A_5,641,2,36000,0
27A,27A_5,642,2,36000,0
27A,27A_5,643,2,36000,0
27A,27A_5,644,2,36000,0
27A,27A_5,666,2,36000,0
27A,27A_5,668,2,36000,0
