LINEID,ROUTEID,STOPPOINTID,DIRECTION,TRIPS_PLANNEDTIME_DEP,DAYOFWEEK
40,40_32,2680,2,83400,0
40,40_32,2679,2,83400,0
40,40_32,2118,2,83400,0
40,40_32,2119,2,83400,0
40,40_32,2120,2,83400,0
40,40_32,2121,2,83400,0
40,40_32,2685,2,83400,0
40,40_32,7510,2,83400,0
40,40_32,4799,2,83400,0
40,40_32,2687,2,83400,0
40,40_32,2688,2,83400,0
40,40_32,2696,2,83400,0
40,40_32,2713,2,83400,0
40,40_32,2714,2,83400,0
40,40_32,2716,2,83400,0
40,40_32,2718,2,83400,0
40,40_32,1989,2,83400,0
40,40_32,1992,2,83400,0
40,40_32,1993,2,83400,0
40,40_32,1994,2,83400,0
40,40_32,1995,2,83400,0
40,40_32,1997,2,83400,0
40,40_32,1998,2,83400,0
40,40_32,1999,2,83400,0
40,40_32,2001,2,83400,0
40,40_32,1358,2,83400,0
40,40_32,319,2,83400,0
40,40_32,4795,2,83400,0
40,40_32,4689,2,83400,0
40,40_32,4410,2,83400,0
40,40_32,2678,2,83400,0
40,40_32,4688,2,83400,0
40,40_32,2676,2,83400,0
40,40_32,2123,2,83400,0
40,40_32,2205,2,83400,0
40,40_32,2697,2,83400,0
40,40_32,2715,2,83400,0
40,40_32,1990,2,83400,0
40,40_32,1996,2,83400,0
40,40_32,2002,2,83400,0
40,40_32,2686,2,83400,0
40,40_32,2689,2,83400,0
40,40_32,2719,2,83400,0
40,40_32,2679,2,84600,0
40,40_32,2680,2,84600,0
40,40_32,2676,2,84600,0
40,40_32,2118,2,84600,0
40,40_32,2120,2,84600,0
40,40_32,2121,2,84600,0
40,40_32,2123,2,84600,0
40,40_32,2686,2,84600,0
40,40_32,7510,2,84600,0
40,40_32,4799,2,84600,0
40,40_32,2205,2,84600,0
40,40_32,2688,2,84600,0
40,40_32,2689,2,84600,0
40,40_32,2696,2,84600,0
40,40_32,2697,2,84600,0
40,40_32,2714,2,84600,0
40,40_32,2715,2,84600,0
40,40_32,2716,2,84600,0
40,40_32,2718,2,84600,0
40,40_32,2719,2,84600,0
40,40_32,1989,2,84600,0
