LINEID,ROUTEID,STOPPOINTID,DIRECTION,TRIPS_PLANNEDTIME_DEP,DAYOFWEEK
77X,77X_61,4952,2,26400,1
77X,77X_61,763,2,26400,1
77X,77X_61,762,2,26400,1
77X,77X_61,761,2,26400,1
77X,77X_61,758,2,26400,1
77X,77X_61,757,2,26400,1
77X,77X_61,756,2,26400,1
77X,77X_61,755,2,26400,1
77X,77X_61,754,2,26400,1
77X,77X_61,753,2,26400,1
77X,77X_61,752,2,26400,1
77X,77X_61,751,2,26400,1
77X,77X_61,750,2,26400,1
77X,77X_61,2809,2,26400,1
77X,77X_61,350,2,26400,1
77X,77X_61,1358,2,26400,1
77X,77X_61,2002,2,26400,1
77X,77X_61,2383,2,26400,1
77X,77X_61,5099,2,26400,1
77X,77X_61,2380,2,26400,1
77X,77X_61,2379,2,26400,1
77X,77X_61,4434,2,26400,1
77X,77X_61,1424,2,26400,1
77X,77X_61,2373,2,26400,1
77X,77X_61,2371,2,26400,1
77X,77X_61,2430,2,26400,1
77X,77X_61,2429,2,26400,1
77X,77X_61,2427,2,26400,1
77X,77X_61,2425,2,26400,1
77X,77X_61,2554,2,26400,1
77X,77X_61,2610,2,26400,1
77X,77X_61,2609,2,26400,1
77X,77X_61,2608,2,26400,1
77X,77X_61,2607,2,26400,1
77X,77X_61,2606,2,26400,1
77X,77X_61,4880,2,26400,1
77X,77X_61,5162,2,26400,1
77X,77X_61,5024,2,26400,1
77X,77X_61,5023,2,26400,1
77X,77X_61,6170,2,26400,1
77X,77X_61,7222,2,26400,1
77X,77X_61,2570,2,26400,1
77X,77X_61,2569,2,26400,1
77X,77X_61,2568,2,26400,1
77X,77X_61,2566,2,26400,1
77X,77X_61,2592,2,26400,1
77X,77X_61,2591,2,26400,1
77X,77X_61,2590,2,26400,1
77X,77X_61,4932,2,26400,1
77X,77X_61,4960,2,26400,1
77X,77X_61,4714,2,26400,1
77X,77X_61,4713,2,26400,1
77X,77X_61,2382,2,26400,1
77X,77X_61,2372,2,26400,1
77X,77X_61,5192,2,26400,1
77X,77X_61,4933,2,26400,1
77X,77X_61,759,2,26400,1
77X,77X_61,2428,2,26400,1
77X,77X_61,760,2,26400,1
77X,77X_61,2810,2,26400,1
77X,77X_61,2190,2,26400,1
77X,77X_61,2426,2,26400,1
77X,77X_61,5161,2,26400,1
77X,77X_61,2357,2,26400,1
77X,77X_61,4714,2,26400,2
77X,77X_61,4960,2,26400,2
77X,77X_61,4932,2,26400,2
77X,77X_61,4933,2,26400,2
77X,77X_61,2591,2,26400,2
77X,77X_61,2592,2,26400,2
77X,77X_61,2357,2,26400,2
77X,77X_61,2566,2,26400,2
77X,77X_61,2569,2,26400,2
77X,77X_61,2570,2,26400,2
77X,77X_61,7222,2,26400,2
77X,77X_61,6170,2,26400,2
77X,77X_61,5023,2,26400,2
77X,77X_61,5024,2,26400,2
77X,77X_61,5161,2,26400,2
77X,77X_61,5162,2,26400,2
77X,77X_61,4880,2,26400,2
77X,77X_61,2607,2,26400,2
77X,77X_61,2609,2,26400,2
77X,77X_61,2610,2,26400,2
77X,77X_61,2554,2,26400,2
77X,77X_61,2426,2,26400,2
77X,77X_61,2427,2,26400,2
77X,77X_61,2428,2,26400,2
77X,77X_61,2430,2,26400,2
77X,77X_61,2371,2,26400,2
77X,77X_61,2373,2,26400,2
77X,77X_61,1424,2,26400,2
77X,77X_61,2190,2,26400,2
77X,77X_61,4434,2,26400,2
77X,77X_61,2379,2,26400,2
77X,77X_61,2380,2,26400,2
77X,77X_61,2382,2,26400,2
77X,77X_61,5099,2,26400,2
77X,77X_61,2002,2,26400,2
77X,77X_61,1358,2,26400,2
77X,77X_61,5192,2,26400,2
77X,77X_61,350,2,26400,2
77X,77X_61,2809,2,26400,2
77X,77X_61,2810,2,26400,2
77X,77X_61,750,2,26400,2
77X,77X_61,751,2,26400,2
77X,77X_61,753,2,26400,2
77X,77X_61,754,2,26400,2
77X,77X_61,756,2,26400,2
77X,77X_61,757,2,26400,2
77X,77X_61,760,2,26400,2
77X,77X_61,761,2,26400,2
77X,77X_61,762,2,26400,2
77X,77X_61,4952,2,26400,2
77X,77X_61,2429,2,26400,2
77X,77X_61,752,2,26400,2
77X,77X_61,2425,2,26400,2
77X,77X_61,763,2,26400,2
77X,77X_61,2590,2,26400,2
77X,77X_61,758,2,26400,2
77X,77X_61,2608,2,26400,2
77X,77X_61,759,2,26400,2
77X,77X_61,4713,2,26400,2
77X,77X_61,2568,2,26400,2
77X,77X_61,2606,2,26400,2
77X,77X_61,2372,2,26400,2
77X,77X_61,2383,2,26400,2
77X,77X_61,755,2,26400,2
77X,77X_61,4713,2,26400,3
77X,77X_61,4960,2,26400,3
77X,77X_61,4932,2,26400,3
77X,77X_61,4933,2,26400,3
77X,77X_61,2590,2,26400,3
77X,77X_61,2592,2,26400,3
77X,77X_61,2357,2,26400,3
77X,77X_61,2566,2,26400,3
77X,77X_61,2568,2,26400,3
77X,77X_61,2569,2,26400,3
77X,77X_61,7222,2,26400,3
77X,77X_61,6170,2,26400,3
77X,77X_61,5023,2,26400,3
77X,77X_61,5024,2,26400,3
77X,77X_61,5162,2,26400,3
77X,77X_61,4880,2,26400,3
77X,77X_61,2606,2,26400,3
77X,77X_61,2607,2,26400,3
77X,77X_61,2608,2,26400,3
77X,77X_61,2609,2,26400,3
77X,77X_61,2610,2,26400,3
77X,77X_61,2554,2,26400,3
77X,77X_61,2425,2,26400,3
77X,77X_61,2428,2,26400,3
77X,77X_61,2430,2,26400,3
77X,77X_61,2371,2,26400,3
77X,77X_61,2372,2,26400,3
77X,77X_61,2373,2,26400,3
77X,77X_61,1424,2,26400,3
77X,77X_61,2190,2,26400,3
77X,77X_61,4434,2,26400,3
77X,77X_61,2379,2,26400,3
77X,77X_61,2382,2,26400,3
77X,77X_61,5099,2,26400,3
77X,77X_61,2383,2,26400,3
77X,77X_61,2002,2,26400,3
77X,77X_61,1358,2,26400,3
77X,77X_61,5192,2,26400,3
77X,77X_61,350,2,26400,3
77X,77X_61,2809,2,26400,3
77X,77X_61,2810,2,26400,3
77X,77X_61,751,2,26400,3
77X,77X_61,752,2,26400,3
77X,77X_61,753,2,26400,3
77X,77X_61,755,2,26400,3
77X,77X_61,756,2,26400,3
77X,77X_61,757,2,26400,3
77X,77X_61,758,2,26400,3
77X,77X_61,759,2,26400,3
77X,77X_61,760,2,26400,3
77X,77X_61,763,2,26400,3
77X,77X_61,4714,2,26400,3
77X,77X_61,2426,2,26400,3
77X,77X_61,2429,2,26400,3
77X,77X_61,754,2,26400,3
77X,77X_61,2570,2,26400,3
77X,77X_61,762,2,26400,3
77X,77X_61,4952,2,26400,3
77X,77X_61,2591,2,26400,3
77X,77X_61,5161,2,26400,3
77X,77X_61,2427,2,26400,3
77X,77X_61,2380,2,26400,3
77X,77X_61,750,2,26400,3
77X,77X_61,761,2,26400,3
77X,77X_61,4713,2,26400,4
77X,77X_61,4714,2,26400,4
77X,77X_61,4960,2,26400,4
77X,77X_61,4933,2,26400,4
77X,77X_61,2590,2,26400,4
77X,77X_61,2591,2,26400,4
77X,77X_61,2592,2,26400,4
77X,77X_61,2357,2,26400,4
77X,77X_61,2566,2,26400,4
77X,77X_61,2568,2,26400,4
77X,77X_61,2569,2,26400,4
77X,77X_61,2570,2,26400,4
77X,77X_61,6170,2,26400,4
77X,77X_61,5023,2,26400,4
77X,77X_61,5024,2,26400,4
77X,77X_61,5161,2,26400,4
77X,77X_61,5162,2,26400,4
77X,77X_61,4880,2,26400,4
77X,77X_61,2606,2,26400,4
77X,77X_61,2607,2,26400,4
77X,77X_61,2608,2,26400,4
77X,77X_61,2610,2,26400,4
77X,77X_61,2554,2,26400,4
77X,77X_61,2425,2,26400,4
77X,77X_61,2426,2,26400,4
77X,77X_61,2427,2,26400,4
77X,77X_61,2428,2,26400,4
77X,77X_61,2429,2,26400,4
77X,77X_61,2430,2,26400,4
77X,77X_61,2372,2,26400,4
77X,77X_61,2373,2,26400,4
77X,77X_61,1424,2,26400,4
77X,77X_61,2190,2,26400,4
77X,77X_61,4434,2,26400,4
77X,77X_61,2379,2,26400,4
77X,77X_61,2380,2,26400,4
77X,77X_61,2382,2,26400,4
77X,77X_61,5099,2,26400,4
77X,77X_61,2002,2,26400,4
77X,77X_61,5192,2,26400,4
77X,77X_61,350,2,26400,4
77X,77X_61,2809,2,26400,4
77X,77X_61,2810,2,26400,4
77X,77X_61,751,2,26400,4
77X,77X_61,752,2,26400,4
77X,77X_61,753,2,26400,4
77X,77X_61,754,2,26400,4
77X,77X_61,756,2,26400,4
77X,77X_61,758,2,26400,4
77X,77X_61,759,2,26400,4
77X,77X_61,761,2,26400,4
77X,77X_61,762,2,26400,4
77X,77X_61,763,2,26400,4
77X,77X_61,1358,2,26400,4
77X,77X_61,750,2,26400,4
77X,77X_61,755,2,26400,4
77X,77X_61,760,2,26400,4
77X,77X_61,4932,2,26400,4
77X,77X_61,7222,2,26400,4
77X,77X_61,2609,2,26400,4
77X,77X_61,2371,2,26400,4
77X,77X_61,2383,2,26400,4
77X,77X_61,757,2,26400,4
77X,77X_61,4713,2,26400,0
77X,77X_61,4714,2,26400,0
77X,77X_61,4960,2,26400,0
77X,77X_61,4932,2,26400,0
77X,77X_61,4933,2,26400,0
77X,77X_61,2590,2,26400,0
77X,77X_61,2591,2,26400,0
77X,77X_61,2592,2,26400,0
77X,77X_61,2357,2,26400,0
77X,77X_61,2566,2,26400,0
77X,77X_61,2569,2,26400,0
77X,77X_61,2570,2,26400,0
77X,77X_61,7222,2,26400,0
77X,77X_61,6170,2,26400,0
77X,77X_61,5023,2,26400,0
77X,77X_61,5024,2,26400,0
77X,77X_61,5161,2,26400,0
77X,77X_61,5162,2,26400,0
77X,77X_61,4880,2,26400,0
77X,77X_61,2607,2,26400,0
77X,77X_61,2608,2,26400,0
77X,77X_61,2609,2,26400,0
77X,77X_61,2610,2,26400,0
77X,77X_61,2554,2,26400,0
77X,77X_61,2425,2,26400,0
77X,77X_61,2426,2,26400,0
77X,77X_61,2427,2,26400,0
77X,77X_61,2428,2,26400,0
77X,77X_61,2430,2,26400,0
77X,77X_61,2371,2,26400,0
77X,77X_61,2373,2,26400,0
77X,77X_61,1424,2,26400,0
77X,77X_61,2190,2,26400,0
77X,77X_61,4434,2,26400,0
77X,77X_61,2380,2,26400,0
77X,77X_61,2382,2,26400,0
77X,77X_61,2383,2,26400,0
77X,77X_61,1358,2,26400,0
77X,77X_61,5192,2,26400,0
77X,77X_61,350,2,26400,0
77X,77X_61,2809,2,26400,0
77X,77X_61,750,2,26400,0
77X,77X_61,751,2,26400,0
77X,77X_61,752,2,26400,0
77X,77X_61,753,2,26400,0
77X,77X_61,755,2,26400,0
77X,77X_61,757,2,26400,0
77X,77X_61,758,2,26400,0
77X,77X_61,760,2,26400,0
77X,77X_61,761,2,26400,0
77X,77X_61,762,2,26400,0
77X,77X_61,4952,2,26400,0
77X,77X_61,2372,2,26400,0
77X,77X_61,2379,2,26400,0
77X,77X_61,2002,2,26400,0
77X,77X_61,2810,2,26400,0
77X,77X_61,754,2,26400,0
77X,77X_61,759,2,26400,0
77X,77X_61,763,2,26400,0
77X,77X_61,2568,2,26400,0
77X,77X_61,2606,2,26400,0
77X,77X_61,2429,2,26400,0
77X,77X_61,5099,2,26400,0
77X,77X_61,756,2,26400,0
77X,77X_61,4952,2,26400,4
77X,77X_61,2567,2,26400,0
77X,77X_61,2567,2,26400,1
77X,77X_61,2567,2,26400,4
77X,77X_61,2567,2,26400,2
77X,77X_61,2567,2,26400,3
77X,77X_62,754,2,26400,0
77X,77X_62,755,2,26400,0
77X,77X_62,756,2,26400,0
77X,77X_62,758,2,26400,0
77X,77X_62,759,2,26400,0
77X,77X_62,760,2,26400,0
77X,77X_62,761,2,26400,0
77X,77X_62,763,2,26400,0
77X,77X_62,2591,2,26400,0
77X,77X_62,2592,2,26400,0
77X,77X_62,2357,2,26400,0
77X,77X_62,2566,2,26400,0
77X,77X_62,2567,2,26400,0
77X,77X_62,2568,2,26400,0
77X,77X_62,2569,2,26400,0
77X,77X_62,2570,2,26400,0
77X,77X_62,6170,2,26400,0
77X,77X_62,5023,2,26400,0
77X,77X_62,5024,2,26400,0
77X,77X_62,5161,2,26400,0
77X,77X_62,5162,2,26400,0
77X,77X_62,4880,2,26400,0
77X,77X_62,2606,2,26400,0
77X,77X_62,2607,2,26400,0
77X,77X_62,2609,2,26400,0
77X,77X_62,2610,2,26400,0
77X,77X_62,2554,2,26400,0
77X,77X_62,2425,2,26400,0
77X,77X_62,2426,2,26400,0
77X,77X_62,2427,2,26400,0
77X,77X_62,2428,2,26400,0
77X,77X_62,2429,2,26400,0
77X,77X_62,2430,2,26400,0
77X,77X_62,2373,2,26400,0
77X,77X_62,1424,2,26400,0
77X,77X_62,2190,2,26400,0
77X,77X_62,4434,2,26400,0
77X,77X_62,2380,2,26400,0
77X,77X_62,2382,2,26400,0
77X,77X_62,5099,2,26400,0
77X,77X_62,2383,2,26400,0
77X,77X_62,1358,2,26400,0
77X,77X_62,350,2,26400,0
77X,77X_62,2809,2,26400,0
77X,77X_62,750,2,26400,0
77X,77X_62,751,2,26400,0
77X,77X_62,752,2,26400,0
77X,77X_62,753,2,26400,0
77X,77X_62,4713,2,26400,0
77X,77X_62,4714,2,26400,0
77X,77X_62,4960,2,26400,0
77X,77X_62,4933,2,26400,0
77X,77X_62,2590,2,26400,0
77X,77X_62,4932,2,26400,0
77X,77X_62,2372,2,26400,0
77X,77X_62,2379,2,26400,0
77X,77X_62,2002,2,26400,0
77X,77X_62,2810,2,26400,0
77X,77X_62,757,2,26400,0
77X,77X_62,762,2,26400,0
77X,77X_62,7222,2,26400,0
77X,77X_62,2608,2,26400,0
77X,77X_62,2371,2,26400,0
77X,77X_62,5192,2,26400,0
77X,77X_62,4952,2,26400,0
77X,77X_62,4713,2,26400,1
77X,77X_62,4714,2,26400,1
77X,77X_62,4932,2,26400,1
77X,77X_62,4933,2,26400,1
77X,77X_62,2590,2,26400,1
77X,77X_62,2591,2,26400,1
77X,77X_62,2592,2,26400,1
77X,77X_62,2357,2,26400,1
77X,77X_62,2566,2,26400,1
77X,77X_62,2567,2,26400,1
77X,77X_62,2569,2,26400,1
77X,77X_62,2570,2,26400,1
77X,77X_62,7222,2,26400,1
77X,77X_62,6170,2,26400,1
77X,77X_62,5023,2,26400,1
77X,77X_62,5024,2,26400,1
77X,77X_62,5161,2,26400,1
77X,77X_62,5162,2,26400,1
77X,77X_62,4880,2,26400,1
77X,77X_62,2607,2,26400,1
77X,77X_62,2608,2,26400,1
77X,77X_62,2609,2,26400,1
77X,77X_62,2610,2,26400,1
77X,77X_62,2554,2,26400,1
77X,77X_62,2425,2,26400,1
77X,77X_62,2426,2,26400,1
77X,77X_62,2427,2,26400,1
77X,77X_62,2429,2,26400,1
77X,77X_62,2430,2,26400,1
77X,77X_62,2371,2,26400,1
77X,77X_62,2372,2,26400,1
77X,77X_62,2373,2,26400,1
77X,77X_62,1424,2,26400,1
77X,77X_62,2190,2,26400,1
77X,77X_62,4434,2,26400,1
77X,77X_62,2379,2,26400,1
77X,77X_62,2382,2,26400,1
77X,77X_62,5099,2,26400,1
77X,77X_62,2383,2,26400,1
77X,77X_62,2002,2,26400,1
77X,77X_62,1358,2,26400,1
77X,77X_62,5192,2,26400,1
77X,77X_62,350,2,26400,1
77X,77X_62,2809,2,26400,1
77X,77X_62,2810,2,26400,1
77X,77X_62,751,2,26400,1
77X,77X_62,752,2,26400,1
77X,77X_62,753,2,26400,1
77X,77X_62,754,2,26400,1
77X,77X_62,755,2,26400,1
77X,77X_62,756,2,26400,1
77X,77X_62,757,2,26400,1
77X,77X_62,758,2,26400,1
77X,77X_62,759,2,26400,1
77X,77X_62,760,2,26400,1
77X,77X_62,762,2,26400,1
77X,77X_62,763,2,26400,1
77X,77X_62,4952,2,26400,1
77X,77X_62,4960,2,26400,1
77X,77X_62,2568,2,26400,1
77X,77X_62,2606,2,26400,1
77X,77X_62,2428,2,26400,1
77X,77X_62,2380,2,26400,1
77X,77X_62,750,2,26400,1
77X,77X_62,761,2,26400,1
77X,77X_62,4714,2,26400,2
77X,77X_62,4960,2,26400,2
77X,77X_62,4932,2,26400,2
77X,77X_62,4933,2,26400,2
77X,77X_62,2590,2,26400,2
77X,77X_62,2591,2,26400,2
77X,77X_62,2592,2,26400,2
77X,77X_62,2357,2,26400,2
77X,77X_62,2567,2,26400,2
77X,77X_62,2568,2,26400,2
77X,77X_62,2569,2,26400,2
77X,77X_62,2570,2,26400,2
77X,77X_62,7222,2,26400,2
77X,77X_62,6170,2,26400,2
77X,77X_62,5023,2,26400,2
77X,77X_62,5024,2,26400,2
77X,77X_62,5161,2,26400,2
